edge_id,item_id,baseline_id,family,type,label,variables_changed,expected_recommendations,expected_excluded,grey_zone_statement
S116,H1-P1,H1-BASE,post_ict_response,flip,PR ≥50% — shifts from RT alone to CRT,ict_response: complete_response -> partial_response_50plus; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> partially_impaired,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",
S119R,H1-P1,H1-BASE,post_ict_response,flip,PR ≥50% — shifts from RT alone to CRT,ict_response: complete_response -> partial_response_50plus; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> partially_impaired,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",
S31R,H1-P1,H1-BASE,post_ict_response,flip,PR ≥50% — shifts from RT alone to CRT,ict_response: complete_response -> partial_response_50plus; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> partially_impaired,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",
S120R,H1-P1,H1-BASE,post_ict_response,flip,PR ≥50% — shifts from RT alone to CRT,ict_response: complete_response -> partial_response_50plus; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> partially_impaired,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",
S30,H1-P1,H1-BASE,post_ict_response,flip,PR ≥50% — shifts from RT alone to CRT,ict_response: complete_response -> partial_response_50plus; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> partially_impaired,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",
SA6,H1-P2,H1-BASE,post_ict_response,grey_zone,PR <50% — GREY ZONE (SA6),ict_response: complete_response -> partial_response_under50; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> fixed,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,SA6
S121R,H1-P2,H1-BASE,post_ict_response,grey_zone,PR <50% — GREY ZONE (SA6),ict_response: complete_response -> partial_response_under50; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> fixed,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,SA6
S121R,H1-P3,H1-BASE,post_ict_response,flip,Stable disease → TL preferred,ict_response: complete_response -> stable_disease; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> fixed,total_laryngectomy,rt_alone,
S129,H1-P4,H1-BASE,post_ict_response,flip,Progression → TL clearly indicated,ict_response: complete_response -> progression; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> fixed,total_laryngectomy,rt_alone,
S121R,H2-P1,H2-BASE,post_ict_response,flip,Response → stable disease,ict_response: partial_response_50plus -> stable_disease,total_laryngectomy,rt_alone,
S39R,H2-P2,H2-BASE,post_ict_response,flip,Baseline laryngeal function → dysfunctional,baseline_laryngeal_function: functional -> dysfunctional,total_laryngectomy,,
S43,H2-P3,H2-BASE,post_ict_response,flip,Site → hypopharyngeal,primary_site: glottic -> hypopharyngeal,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,
S119R,H2-NULL,H2-BASE,post_ict_response,null,VC remobilization (improves prognosis but doesn't change eligibility),vc_remobilization_post_ict: false -> true; vocal_cord_mobility: fixed -> partially_impaired,"concurrent_crt, nonsurgical_lp, total_laryngectomy",rt_alone,
S88,I1-P1,I1-BASE,elderly_frail,flip,"Frail → OPHL relative CI, adapted approach",frailty_status: fit -> frail; g8_score: above_14 -> below_14,"concurrent_crt, nonsurgical_lp, rt_alone, total_laryngectomy",,
S84,I1-P1,I1-BASE,elderly_frail,flip,"Frail → OPHL relative CI, adapted approach",frailty_status: fit -> frail; g8_score: above_14 -> below_14,"concurrent_crt, nonsurgical_lp, rt_alone, total_laryngectomy",,
S111R,I1-P1,I1-BASE,elderly_frail,flip,"Frail → OPHL relative CI, adapted approach",frailty_status: fit -> frail; g8_score: above_14 -> below_14,"concurrent_crt, nonsurgical_lp, rt_alone, total_laryngectomy",,
S89,I1-P2,I1-BASE,elderly_frail,escalate,Frail + cT4a + precludes OPHL/chemo → TL preferred,frailty_status: fit -> frail; g8_score: above_14 -> below_14; t_stage: cT3 -> cT4a; thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; cardiopulmonary_function: good -> impaired,total_laryngectomy,,
S88,I1-P2,I1-BASE,elderly_frail,escalate,Frail + cT4a + precludes OPHL/chemo → TL preferred,frailty_status: fit -> frail; g8_score: above_14 -> below_14; t_stage: cT3 -> cT4a; thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; cardiopulmonary_function: good -> impaired,total_laryngectomy,,
S13,I1-P2,I1-BASE,elderly_frail,escalate,Frail + cT4a + precludes OPHL/chemo → TL preferred,frailty_status: fit -> frail; g8_score: above_14 -> below_14; t_stage: cT3 -> cT4a; thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; cardiopulmonary_function: good -> impaired,total_laryngectomy,,
S75R,I1-P3,I1-BASE,elderly_frail,flip,Add neurodegenerative disease,neurological_function: good -> impaired_grade1,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S13,I1-P3,I1-BASE,elderly_frail,flip,Add neurodegenerative disease,neurological_function: good -> impaired_grade1,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S6R,I1-NULL1,I1-BASE,elderly_frail,null,Age 82 but STILL fit → should NOT change,age: 70_plus -> 70_plus,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,
S80,I1-NULL1,I1-BASE,elderly_frail,null,Age 82 but STILL fit → should NOT change,age: 70_plus -> 70_plus,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,
S69R,I1-NULL2,I1-BASE,elderly_frail,null,CrCl 55 — only affects chemo choice,renal_function: normal -> 50_60_ml_min,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,
S19R,J1-P1,J1-BASE,pretreatment_function,escalate,Tracheostomy required → relative CI,pretreatment_tracheostomy: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,
S115,J1-P1,J1-BASE,pretreatment_function,escalate,Tracheostomy required → relative CI,pretreatment_tracheostomy: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,
S19R,J1-P2,J1-BASE,pretreatment_function,escalate,Aspiration pneumonia → absolute CI non-surgical,swallowing_status: normal -> recurrent_pneumonia; baseline_laryngeal_function: functional -> dysfunctional,total_laryngectomy,,
S19R,J1-P3,J1-BASE,pretreatment_function,flip,Add feeding tube,pretreatment_feeding_tube: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,
S20R,J1-P4,J1-BASE,pretreatment_function,escalate,Add significant subglottic + extensive cricoid,subglottic_extension: none -> significant; cricoid_cartilage_involvement: none -> extensive,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,
S19R,J1-P5,J1-BASE,pretreatment_function,multi,Tracheostomy + feeding tube + aspiration → convergent CIs,pretreatment_tracheostomy: false -> true; pretreatment_feeding_tube: false -> true; swallowing_status: normal -> penetration_aspiration; baseline_laryngeal_function: functional -> dysfunctional; ecog_ps: 0 -> 1,total_laryngectomy,,
S39R,J1-P5,J1-BASE,pretreatment_function,multi,Tracheostomy + feeding tube + aspiration → convergent CIs,pretreatment_tracheostomy: false -> true; pretreatment_feeding_tube: false -> true; swallowing_status: normal -> penetration_aspiration; baseline_laryngeal_function: functional -> dysfunctional; ecog_ps: 0 -> 1,total_laryngectomy,,
S115,J1-P5,J1-BASE,pretreatment_function,multi,Tracheostomy + feeding tube + aspiration → convergent CIs,pretreatment_tracheostomy: false -> true; pretreatment_feeding_tube: false -> true; swallowing_status: normal -> penetration_aspiration; baseline_laryngeal_function: functional -> dysfunctional; ecog_ps: 0 -> 1,total_laryngectomy,,
S74R,J1-P6,J1-BASE,pretreatment_function,flip,DNA repair disorder → absolute CI non-surgical LP (S74R),dna_repair_disorder: false -> true,total_laryngectomy,,
S74R,J1-P7,J1-BASE,pretreatment_function,flip,Previous neck RT → relative CI non-surgical LP (S74R),previous_neck_rt: false -> true,total_laryngectomy,,
S21,J1-NULL,J1-BASE,pretreatment_function,null,"Add age 72, fit — should NOT change",age: under_70 -> 70_plus,"concurrent_crt, ict_rt, nonsurgical_lp",total_laryngectomy,
S80,J1-NULL,J1-BASE,pretreatment_function,null,"Add age 72, fit — should NOT change",age: under_70 -> 70_plus,"concurrent_crt, ict_rt, nonsurgical_lp",total_laryngectomy,
