statement_id,kind,number_text,number_start,number_end,section,page_hint,level_of_evidence,consensus_pct,voting_round,meets_80pct_table_threshold,statement_class,graph_candidate,atomic_condition_count,mentioned_treatments,decision_scopes,statement_text
S106R,statement,106,106,106,Post-treatment surveillance,7,IV,97.1,first,True,non_decisional,False,1,,larynx_preservation_any,"Close surveillance is recommended after larynx-preservation treatment, since the early detection of a persisting or recurrent laryngeal or hypopharyngeal cancer might prompt the indication to salvage treatment. Salvage treatment leads to higher cure rates than for other head and neck subsites."
S107R,statement,107,107,107,Post-treatment surveillance,7,II,95.5,first,True,non_decisional,False,1,,larynx_preservation_any,"Swallowing exercises should be recommended before, during, and after larynx-preservation treatment."
S108,statement,108,108,108,Post-treatment surveillance,7,V,88.6,first,True,non_decisional,False,1,,larynx_preservation_any,"A holistic, multidimensional post-treatment surveillance is recommended for patients who receive larynx-preservation treatment."
S109R,statement,109,109,109,Post-treatment surveillance,7,IV,93.5,first,True,non_decisional,False,1,,,"Office-based endoscopy of the upper aerodigestive tract, preferably integrated with video recording, image storage, and bioendoscopy is an indispensable clinical tool for patient follow-up."
S110R,statement,110,110,110,Post-treatment surveillance,7,IV,83.3,first,True,recommendation,True,1,"tlm, ophl_any","surgical_lp, larynx_preservation_any","Multimodal follow-up including neck ultrasound, MRI (with diffusion-weighted imaging), or contrast-enhanced CT is indicated when there is a moderate-to-high risk of locoregional recurrence after transoral laser microsurgery or open partial horizontal laryngectomy for glottic and supraglottic cancers."
S111R,statement,111,111,111,Prognostic and predictive factors,8,IV,98.5,first,True,selection_factor,True,1,,larynx_preservation_any,"Performance status, comorbidities, and tumour-node-metastasis stage have prognostic significance for overall survival in laryngeal and hypopharyngeal cancer treated with larynx-preservation strategies."
S112,statement,112,112,112,Prognostic and predictive factors,8,IV,96.9,first,True,selection_factor,True,1,,larynx_preservation_any,"Tumour stage, volume of primary and nodal disease, comorbidities, hypopharyngeal origin, and tumour metabolic activity have been associated with progression-free survival and laryngeal preservation."
S113,statement,113,113,113,Prognostic and predictive factors,8,IV,83.1,first,True,non_decisional,False,1,,,"When looking at circulating biomarkers, high neutrophil and monocyte count, low lymphocyte count, and low haemoglobin concentration at baseline are associated with worse overall and disease-free survival. Similarly, low albumin concentration in serum, as an expression of poor nutritional status, has the same prognostic value as the other biomarkers just mentioned. The Host Index, which summarises all these biomarkers, could be used as an additional prognostic factor."
S114,statement,114,114,114,Prognostic and predictive factors,8,IV,80.7,first,True,non_decisional,False,1,,,"The TALK score (based on T stage, serum albumin, maximum alcohol use, and Karnofsky performance status) is an easily applied tool that establishes a prognostic gradient concerning larynx non-surgical preservation outcomes."
S115,statement,115,115,115,Prognostic and predictive factors,8,III,98.5,first,True,selection_factor,True,1,,"larynx_preservation_any, nonsurgical_lp, surgical_lp","Having an impaired pharyngolaryngeal functional status (tumour-related dysphagia requiring feeding tube, or recurring pneumonia within 12 months requiring hospitalisation) or a tracheostomy before non-surgical larynx-preservation treatments are associated with poor functional outcomes."
S116,statement,116,116,116,Prognostic and predictive factors,8,II,94.0,first,True,response_adapted,True,1,ict_rt,"larynx_preservation_any, nonsurgical_lp, surgical_lp","Response to induction chemotherapy (complete or partial response) allows for the appropriate selection of patients who might benefit from non-surgical laryngeal preservation strategy. The evaluation of response to induction chemotherapy should take into account both clinical assessment (ie, symptoms and endoscopic findings) and morphological imaging (ie, contrast-enhanced CT, MRI, or both). Metabolic imaging (ie, PET–CT) might be useful to complete the evaluation, if feasible. A radiological response of at least 50% is considered a favourable prognostic factor and a predictor of response for non-surgical larynx-preservation treatment."
S119R,statement,119,119,119,Prognostic and predictive factors,8,III,93.0,second,True,contextual_selection,True,1,"ict_rt, rt_alone","nonsurgical_lp, larynx_preservation_any","In the case of vocal cord fixation, larynx remobilisation is associated with functional larynx preservation after definitive radiotherapy in organ-preservation protocols that include induction chemotherapy."
S120R,statement,120,120,120,Prognostic and predictive factors,8,II,96.7,second,True,response_adapted,True,1,"ict_rt, rt_alone","nonsurgical_lp, larynx_preservation_any","In patients with laryngeal cancer who have a complete response after induction chemotherapy, subsequent curative treatment should entail radiotherapy alone (without concomitant chemotherapy)."
S121R,statement,121,121,121,Prognostic and predictive factors,8,IV,81.7,second,True,response_adapted,True,1,ict_rt,"nonsurgical_lp, larynx_preservation_any",Subsequent curative treatment with radiotherapy and concomitant platinum-based chemotherapy is indicated for patients with stable disease after induction chemotherapy who refuse total laryngectomy.
S122R,statement,122,122,122,Prognostic and predictive factors,8,IV,87.2,first,True,recommendation,True,1,"tlm, tors, ophl_any, surgical_lp","surgical_lp, larynx_preservation_any","A margin of at least 2 mm of uninvolved tissue at pathological evaluation indicates adequate surgical ablation in patients who received conservative laryngeal surgery (transoral laser microsurgery, open partial horizontal laryngectomy, or transoral robotic surgery). Since the shrinkage of intra laryngeal and perilaryngeal soft tissues that follows excision and histological processing determines about 30% of reduction in diameter, a clinical margin of at least 3 mm should be planned preoperatively and delineated intraoperatively when conservative laryngeal surgery is indicated."
SA7,additional_statement,7,7,7,Prognostic and predictive factors,8,IV,96.7,second,True,non_decisional,False,1,,,"The definition of adequate pathological and clinical margins might change slightly according to the involvement of different subsites of the larynx (ie, the threshold might be lower for glottic cancer compared with supraglottic cancer)."
SA8,additional_statement,8,8,8,Prognostic and predictive factors,8,IV,87.2,second,True,contextual_selection,True,1,"tlm, tors","surgical_lp, larynx_preservation_any","The definition of adequate pathological and clinical margins might change slightly according to the technique used to perform ablation (ie, the threshold might be lower for transoral techniques [transoral laser microsurgery and transoral robotic surgery] compared with open surgery)."
S123R,statement,123,123,123,Prognostic and predictive factors,8,IV,95.3,second,True,absolute_contraindication,True,1,surgical_lp,"surgical_lp, larynx_preservation_any","If the planned surgical ablation has no chances of providing an adequate clinical margin, then conservative laryngeal surgery is contraindicated."
S138R2,statement,138,138,138,Cost-effectiveness of different laryngeal preservation approaches,8,IV,96.9,third,True,recommendation,True,1,"total_laryngectomy, nonsurgical_lp, surgical_lp","larynx_preservation_any, nonsurgical_lp, surgical_lp","In countries with lower health-care budgets and fewer facilities, total laryngectomy might be preferred over non-surgical larynx preservation approaches due to a better cost-effectiveness profile. When local resources reduce the feasibility of organ preservation strategies, each patient should be informed about larynx preservation treatments that can be delivered elsewhere."
S139R,statement,139,139,139,Cost-effectiveness of different laryngeal preservation approaches,8,III,81.2,first,True,non_decisional,False,1,,,"Financial toxicity represents a relevant patient-reported outcome in patients with cancer and specifically in those affected by laryngeal or hypopharyngeal cancer. Therefore, each patient should be informed of the effect of available treatments not only in terms of survival outcomes, but also in terms of financial toxicity."
S140R,statement,140,140,140,Cost-effectiveness of different laryngeal preservation approaches,8,II,98.5,first,True,recommendation,True,1,total_laryngectomy,,Voice rehabilitation should be offered to patients who underwent total laryngectomy.
S141,statement,141,141,141,Cost-effectiveness of different laryngeal preservation approaches,8,V,95.5,first,True,non_decisional,False,1,,,"Tailoring the treatment for locally advanced laryngeal and hypopharyngeal carcinoma might also translate into an increase of functional results. It is imperative that any new trial in this setting studies functional outcome, and also quality-of-life parameters and the consequent effect on financial toxicity. Health-care and non-health-care resource consumption, productivity losses, and health-related quality of life need to be assessed with validated questionnaires."
S62,statement,62,62,62,Laryngeal function at baseline,10,III,92.5,first,True,contextual_selection,True,1,,larynx_preservation_any,An instrumental swallowing assessment should be performed to exclude swallowing impairment unrelated to the tumour before indicating an organ preservation treatment.
S63,statement,63,63,63,Laryngeal function at baseline,10,III,93.5,first,True,non_decisional,False,1,,,Fibreoptic endoscopic evaluation of swallowing and videofluoroscopic swallowing studies are both valuable methods to assess swallowing in patients suitable for laryngeal-preservation treatment.
S64R,statement,64,64,64,Laryngeal function at baseline,10,IV,96.7,second,True,contextual_selection,True,1,,larynx_preservation_any,"Hypopharyngeal–laryngeal function assessment before organ preservation treatment should include patient-reported outcome measures using a validated questionnaire, such as the MD Anderson Dysphagia Inventory or Sydney Swallow Questionnaire, especially when the patient reports dysphagia."
S65,statement,65,65,65,Laryngeal function at baseline,10,IV,96.9,first,True,selection_factor,True,1,,,Impaired pharyngolaryngeal functional status and tracheostomy before any larynx preservation protocol are associated with poor functional outcomes.
S67,statement,67,67,67,Which comorbidities are contraindications and to what extent?,10,V,93.8,first,True,absolute_contraindication,True,1,"concurrent_crt, ict_rt","larynx_preservation_any, nonsurgical_lp",Patients unfit for chemotherapy are not suitable candidates for induction chemotherapy-based or chemoradiation-based approaches for laryngeal preservation.
S68R,statement,68,68,68,Which comorbidities are contraindications and to what extent?,10,V,100.0,second,True,absolute_contraindication,True,15,"ict_rt, cisplatin_high_dose","nonsurgical_lp, larynx_preservation_any","Absolute contraindications to high-dose cisplatin-based chemotherapy (administered as induction chemotherapy or concurrent treatment) include: any comorbidity that independently results in an ECOG performance status of 2 or more, renal failure (defined as a creatinine clearance <50 mL/min), grade ≥2 neurological disorders (diabetic neuropathy, peripheral sensory neuropathy, orthostatic hypotension, Lhermitte’s sign, seizures, and focal encephalopathy), pregnancy or lactation, child-Pugh B or C liver disease, grade >2 bone marrow disorders (haemoglobin level under 8 g/dL; neutrophil count <1000 cells per µL or platelet count < 100 000 cells per µL), congestive heart failure class III or IV according to the New York Heart Association despite cardiovascular optimisation therapy, congestive heart failure NYHA class I or II with left ventricular ejection fraction equal to or under 50%, uncontrolled chronic viral HBV or HCV infection without antiviral treatment, HIV infection with a CD4 cell count <200 cells per µL, detectable viral load, and AIDS, hypersensitivity to platinum-based therapy, severe psychiatric disorders interfering with treatment compliance, and uncontrolled insulin-dependent diabetes."
S69R,statement,69,69,69,Which comorbidities are contraindications and to what extent?,10,V,91.5,first,True,relative_contraindication,True,11,"ict_rt, cisplatin_high_dose","nonsurgical_lp, larynx_preservation_any","Relative contraindications to high-dose cisplatin-based chemotherapy (administered as induction chemotherapy or concurrent treatment) include: reatinine clearance of 50–60 mL/min, grade >1 hearing or neurological disorders, grade 2 bone marrow, liver, and lung disorders, previous heart disease, diabetes, recurrent pulmonary infections, concomitant use of nephrotoxic drugs, HIV infection with CD4 cell count 200–350 cells per µL, and impaired social and economic support."
S71R,statement,71,71,71,Which comorbidities are contraindications and to what extent?,10,V,100.0,second,True,relative_contraindication,True,1,,,"To evaluate both absolute and relative contraindications to administering cisplatin, every patient considered for cisplatin treatment should undergo a blood test including a complete blood count, renal and liver function, audiometry, and nutritional status evaluation. Other tests that might be useful to evaluate patients are serology for hepatitis B and C, HIV, and, in patients with a previous history of cardiac or pulmonary comorbidities, left ventricular ejection fraction (echocardiogram or multigated acquisition scan) and lung function (spirometry)."
S72R,statement,72,72,72,Which comorbidities are contraindications and to what extent?,10,II,90.4,second,True,fallback_option,True,1,"cetuximab_concurrent, carboplatin_5fu","nonsurgical_lp, larynx_preservation_any",Carboplatin-based treatment or cetuximab can be considered as concurrent treatment in patients unfit for any schedule of cisplatin-based chemotherapy who refuse total laryngectomy.
S73R,statement,73,73,73,Which comorbidities are contraindications and to what extent?,10,II,98.1,second,True,fallback_option,True,1,"concurrent_crt, rt_accelerated, rt_alone","nonsurgical_lp, larynx_preservation_any","For patients unfit for any systemic treatment who decline total laryngectomy , hyperfractionated or accelerated radiotherapy alone could be offered. Due to the expected lower oncological outcome compared with the two validated chemoradiation approaches, careful follow-up is suggested to avoid delay in salvage surgery."
S74R,statement,74,74,74,Which comorbidities are contraindications and to what extent?,10,IV,94.5,second,True,relative_contraindication,True,1,,"nonsurgical_lp, surgical_lp, larynx_preservation_any","Gene repair disorders (ie, xeroderma pigmentosum, ataxia-telangiectasia, and Fanconi anaemia) preclude a non-surgical larynx-preservation approach; previous radiotherapy to the neck is a relative contraindication depending on previous doses, volumes, and time elapsed from treatment."
S75R,statement,75,75,75,Which comorbidities are contraindications and to what extent?,10,V,95.2,second,True,relative_contraindication,True,1,,larynx_preservation_any,Neurodegenerative and neuromuscular diseases potentially affecting swallowing and respiratory functions might be a contraindication to larynx preservation treatments (surgical and non-surgical).
S76,statement,76,76,76,Which comorbidities are contraindications and to what extent?,10,III,95.2,first,True,contextual_selection,True,1,,larynx_preservation_any,"It is important to define pre-existing comorbidities (and their clinical effect) when making treatment decisions in the organ preservation setting. Since performance status is not reliable as a prognostic measure substitute for assessing comorbidities, different tools have been developed to measure and quantify patient comorbidities. Some of the more commonly used assessment tools are the Adult Comorbidity Evaluation-27 and the Charlson Comorbidity Index."
S77R,statement,77,77,77,Which comorbidities are contraindications and to what extent?,10,V,82.4,first,True,relative_contraindication,True,1,,larynx_preservation_any,"In patients with moderate comorbidities and an ECOG performance status of 2, it is crucial to distinguish whether the performace status is the result of tumour progression or the patient’s comorbidities. This differentiation is essential to determine the appropriate indication for cisplatin in laryngeal preservation. Specifically, if the performance scale of 2 is influenced by the disease itself, cisplatin could be indicated if there are no absolute or relative contraindications to cisplatin-based chemotherapy; and if the performance scale of 2 is influenced by comorbidities or toxicity due to previous treatments, cisplatin is contraindicated."
S78R,statement,78,78,78,Which comorbidities are contraindications and to what extent?,10,V,84.9,second,True,contextual_selection,True,1,cisplatin_high_dose,,"The cisplatin administration schedule (weekly vs every 3 weeks) does not influence the contraindications to cisplatin itself, except for patients with mild cardiac dysfunction who might not tolerate high-volume fluid administration that is required for high-dose cisplatin and for patients with mild baseline renal impairment (creatinine clearance 50–60 mL/min) or with hearing impairment (grade >1)."
S132R,statement,132,132,132,Prehabilitation and rehabilitation,11,V,94.0,first,True,contextual_selection,True,1,,larynx_preservation_any,"A speech therapist (ie, a medical or non-medical expert in voice, speech, and deglutition) should be involved in the pretreatment assessment of patients considered for larynx-preservation treatments."
S133R,statement,133,133,133,Prehabilitation and rehabilitation,11,II,96.8,second,True,contextual_selection,True,1,"tlm, ophl_any, surgical_lp","larynx_preservation_any, nonsurgical_lp, surgical_lp","Swallowing exercises that are indicated before, during, and after treatment in patients who receive conservative laryngeal surgery (transoral laser microsurgery or open partial horizontal laryngectomy) or non-surgical larynx-preservation treatment should be overseen by a speech therapist until the patient is deemed independent (ie, a medical or non-medical expert in voice, speech, and deglutition)."
S134R,statement,134,134,134,Prehabilitation and rehabilitation,11,II,87.7,first,True,contextual_selection,True,1,,larynx_preservation_any,Adherence to swallowing exercises in patients who underwent laryngeal preservation therapeutic strategies should be regularly checked.
S135R,statement,135,135,135,Prehabilitation and rehabilitation,11,III,93.3,first,True,contextual_selection,True,1,concurrent_crt,"nonsurgical_lp, larynx_preservation_any",Prophylactic swallowing exercises in patients undergoing radiotherapy or chemoradiotherapy for laryngeal or hypopharyngeal cancer should aim at strengthening the tongue muscles and those muscles that determine laryngeal elevation.
S136R,statement,136,136,136,Prehabilitation and rehabilitation,11,V,98.4,first,True,contextual_selection,True,1,"tlm, ophl_any, surgical_lp","surgical_lp, larynx_preservation_any","Rehabilitation (ie, exercises aimed at rehabilitating voice, speech, and swallowing) should be started as soon as possible after surgery in patients who undergo conservative laryngeal surgery (ie, transoral laser microsurgery and open partial horizontal laryngectomy)."
S79,statement,79,79,79,Organ preservation in older patients: selection criteria,12,IV,98.5,first,True,non_decisional,False,1,,,"As there is often a remarkable difference between biological and chronological age, it is essential to evaluate the global health status of older patients (≥70 years). This evaluation is particularly important in patients affected by laryngeal and hypopharyngeal cancers, due to the relevant consequences of treatment on the vital functions linked to these organs."
S80,statement,80,80,80,Organ preservation in older patients: selection criteria,12,IV,94.1,first,True,exception,True,1,,larynx_preservation_any,"Age itself is not a contraindication to surgical and non-surgical laryngeal preservation approaches. However, the common comorbidities and frailty associated with age might have a great effect on both treatment choice and outcome. Fit older patients (≥70 years) should be offered the same larynx-preservation strategies as their younger counterparts."
S81,statement,81,81,81,Organ preservation in older patients: selection criteria,12,III,97.1,first,True,contextual_selection,True,1,"nonsurgical_lp, surgical_lp","larynx_preservation_any, nonsurgical_lp, surgical_lp",Older patients (≥70 years) for whom a surgical or non-surgical larynx preservation treatment is hypothesised should be screened for frailty and comorbidities using validated tools.
S83,statement,83,83,83,Organ preservation in older patients: selection criteria,12,III,96.5,first,True,non_decisional,False,1,,,The standard reference to classify patients according to their frailty profile is the Comprehensive Geriatric Assessment. The G8 screening tool is useful to determine the need for a Comprehensive Geriatric Assessment. The Charlson Comorbidity Index and Adult Comorbidity Evaluation 27 are validated tools for the assessment of comorbidities in the head and neck cancer population.
S84,statement,84,84,84,Organ preservation in older patients: selection criteria,12,IV,98.5,first,True,selection_factor,True,1,,larynx_preservation_any,"Vulnerable and frail patients are at higher risk of treatment complications and face a higher risk of non-cancer-related death, due to comorbidities and treatment-induced toxic effects. Therefore, organ preservation strategies in this group of patients should be carefully weighed against the risks."
S85,statement,85,85,85,Organ preservation in older patients: selection criteria,12,IV,96.4,first,True,contextual_selection,True,1,"tlm, ophl_any","surgical_lp, larynx_preservation_any","In older patients (≥70 years) diagnosed with cT2N0–1 glottic or supraglottic cancer, both radiotherapy and transoral laser microsurgery (with neck dissection, if required) are viable treatment options. However, open partial horizontal laryngectomy should be considered only in older patients with favourable frailty and comorbidity profile."
S86R2,statement,86,86,86,Organ preservation in older patients: selection criteria,12,IV,81.8,third,True,contextual_selection,True,1,"tlm, tors","surgical_lp, larynx_preservation_any","In intermediate laryngeal cancers (cT2N0 and selected cT3N0 with neither of vocal cord fixation, arytenoid fixation, involvement of the posterior portion of the paraglottic space, and involvement of the cartilaginous framework), transoral laser microsurgery (for both glottic and supraglottic tumours) and transoral robotic surgery (for supraglottic tumours) are low-morbidity options in older patients, with favourable oncological and functional outcomes and short hospitalisation."
S87R,statement,87,87,87,Organ preservation in older patients: selection criteria,12,IV,84.9,second,True,contextual_selection,True,1,ophl_any,"surgical_lp, larynx_preservation_any","In patients ≥70 years deemed vulnerable by the Comprehensive Geriatric Assessment, open partial horizontal laryngectomy should be considered only if swallowing function is not impaired at preoperative assessment and both arytenoids can be preserved."
S88,statement,88,88,88,Organ preservation in older patients: selection criteria,12,IV,92.5,first,True,relative_contraindication,True,1,ophl_any,"surgical_lp, larynx_preservation_any","In patients aged ≥70 years, frailty (defined by the Comprehensive Geriatric Assessment) is a relative contraindication to open partial horizontal laryngectomy, even in the absence of severe neurological or cardio-respiratory comorbidities."
S89,statement,89,89,89,Organ preservation in older patients: selection criteria,12,IV,93.7,first,True,recommendation,True,1,"total_laryngectomy, ophl_any","surgical_lp, larynx_preservation_any","For older patients (aged ≥70 years) with advanced-stage laryngeal cancer (cT3, cT4a, or cN+) whose frailty or comorbidity profile precludes the use of systemic therapy and indication to open partial horizontal laryngectomy, total laryngectomy is the preferred option."
S90,statement,90,90,90,Organ preservation in older patients: selection criteria,12,I,87.5,first,True,non_decisional,False,1,,,"As there are no clear indications concerning reduced toxic effects in patients treated with weekly concomitant 40 mg/m 2 of cisplatin in respect to 100 mg/m² every 3 weeks, there is no best treatment schedule option for older fit patients."
S91R,statement,91,91,91,Organ preservation in older patients: selection criteria,12,V,94.2,second,True,relative_contraindication,True,1,,,"Older patients are more susceptible to developing more severe cisplatin-related ototoxicity. Therefore, hearing loss or tinnitus of grade >1 (CTCAE) is a relative contraindication for cisplatin administration in larynx-preservation protocols in older patients, and this should be discussed with the patient."
S124,statement,124,124,124,Listening to the patient’s preferences: tools and implementation,13,V,100.0,first,True,non_decisional,False,1,,,Ascertaining the attitude of patients that have been newly diagnosed with locally advanced laryngeal cancer towards their treatment journey should be a central factor in the communication with physicians.
S125R,statement,125,125,125,Listening to the patient’s preferences: tools and implementation,13,V,94.2,first,True,non_decisional,False,1,,,"The preferences of patients affected by laryngeal cancer should be thoroughly analysed by the treating multidisciplinary team, since a substantial proportion of patients might be willing to prefer quality over quantity of life (preserving normal or nearly normal speech at the cost of lower chances of survival)."
S126R,statement,126,126,126,Listening to the patient’s preferences: tools and implementation,13,V,97.1,first,True,non_decisional,False,1,,,The ability to swallow and keep a normal voice are the most important functional priorities for patients with laryngeal cancer. Priorities and attitudes influence how patients reflect on their choices regarding the management of laryngeal cancer. These priorities should be closely investigated and taken into consideration for every patient before recommending treatment options.
S127,statement,127,127,127,Listening to the patient’s preferences: tools and implementation,13,V,97.1,first,True,non_decisional,False,1,,,"There is a substantial absence of high-quality research in the field of patient preferences. Shared decision making in the care of patients with locally advanced laryngeal cancer should be implemented, taking into account the massive psychological implications that treatment strategies might affect the patient’s wellbeing."
S128,statement,128,128,128,Listening to the patient’s preferences: tools and implementation,13,V,97.0,first,True,recommendation,True,1,,,"Tools to assess the priorities of patients with locally advanced laryngeal cancer should be specifically developed. Areas of research should entail developing questionnaires with a specific focus on larynx-preservation through standardised methodology, validating and divulging specific patient decision aids to empower patients and their caregivers in the clinical decision making, and addressing treatment-decision-making dynamics via specific qualitative studies, as are already available for other head and neck subsites."
S129,statement,129,129,129,Listening to the patient’s preferences: tools and implementation,13,III,100.0,first,True,response_adapted,True,1,"total_laryngectomy, ict_rt","larynx_preservation_any, nonsurgical_lp","In cases of advanced disease (such as cT4a tumours with high-volume extralaryngeal extension) or no response to induction chemotherapy, the treating multidisciplinary team should be clear that larynx-preservation strategies have a reduced functional and survival outcome compared with total laryngectomy. Patients should undergo extensive counselling to be able to fully grasp the potential detrimental consequences of tentatively favouring quality over quantity of life when making a decision concerning treatment."
S130,statement,130,130,130,Listening to the patient’s preferences: tools and implementation,13,IV,93.8,first,True,non_decisional,False,1,,,"Patients with laryngeal cancer might have a high decisional conflict (uncertainty in the decision making process) that could expose them to more decisional regret and nervousness. At the same time, patients with laryngeal cancer have a high perception of shared decision making. Physicians should be aware of this, so as to propose the different treatment options in the most appropriate way."
S131,statement,131,131,131,Listening to the patient’s preferences: tools and implementation,13,V,98.6,first,True,non_decisional,False,1,,,"Patient-related factors such as availability of caregivers, patient’s quality of life, needs, and preferences should be simultaneously considered."
